,CollegeName,TotalRegistrations
1,SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,213
2,VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,154
3,ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),109
4,NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,63
5,GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),49
6,SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),47
7,KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),44
8,MRCE - MALLA REDDY COLLEGE OF ENGINEERING,42
9,SMCD - ST MARYS ENGINEERING COLLEGE,40
10,MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,39
11,GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,34
12,STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),34
13,BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,32
14,JNTH - JNTU COLLEGE OF ENGG HYDERABAD,32
15,NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),25
16,BITN - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,23
17,VASV - VASAVI COLLEGE OF ENGINEERING,17
18,VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,17
19,VAGE - VAAGDEVI COLLEGE OF ENGINEERING,16
20,ICFAI UNIVERSITY,15
21,SMED - ST MARYS GROUP OF INSTITUTIONS,15
22,SMIC - ST MARYS INTEGRATED CAMPUS,14
23,VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),13
24,MECS - MATRUSRI ENGINEERING COLLEGE,13
25,KMIT - KESHAV MEMORIAL INST OF TECHNOLOGY,11
26,VMEG - VARDHAMAN COLLEGE OF ENGINEERING,11
27,BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,11
28,CMRM - CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),11
29,MRTN - ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),11
30,IARE - INSTITUTE OF AERONAUTICAL ENGINEERING,10
31,VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,10
32,VIT - VELLORE INSTITUTE OF TECHNOLOGY,10
33,GCTC - GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),9
34,IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,9
35,IFHE HYDERABAD,9
36,MLRD - MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),9
37,KPRT - KOMMURI PRATAP REDDY INST OF TECHNOLOGY,8
38,GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,8
39,GLWC - GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE,8
40,ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),7
41,METH - METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),7
42,VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,6
43,JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,5
44,NGIT - NEIL GOGTE INST OF TECHNOLOGY,5
45,OUCE - OSMANIA UNIVERSITY COLLEGE OF ENGINEERING,5
46,SNTI - SCIENT INSTITUTE OF TECHNOLOGY,5
47,VGWL - VAGDEVI ENGINEERING COLLEGE,5
48,MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),5
49,College,5
50,INDI - SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,5
51,KMEC - KESHAV MEMORIAL ENGINEERING COLLEGE,4
52,GITAM - GITAM UNIVERSITY,4
53,CVRH - CVR COLLEGE OF ENGINEERING,4
54,IOES -GOVERNMENT INSTITUTE OF ELECTRONICS,4
55,DHANALAKSHMI SRINIVASAN UNIVERSITY,4
56,CMRN - CMR ENGG COLLEGE (AUTONOMOUS),4
57,SMSK - SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,4
58,SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),4
59,MRU - MALLA REDDY UNIVERSITY,4
60,JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,3
61,MLID - M L R INSTITUTE OF TECHNOLOGY,3
62,ICFAI TECH,3
63,ELEN - ELLENKI COLLGE OF ENGG AND TECHNOLOGY,3
64,SVIT - SWAMI VIVEKANANDA INST OF TECHNOLOGY,3
65,AVNI - AVN INST OF ENGG TECHNOLOGY,3
66,MREW - MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,3
67,VELLORE INSTITUTE OF TECHNOLOGY,3
68,ICFAI FOUNDATION FOR HIGHER EDUCATION,3
69,SRYS - SREYAS INST OF ENGG AND TECHNOLOGY,2
70,GITAM HYDERABAD,2
71,BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,2
72,BALAJI INSTITUTE OF TECHNOLOGY AND SCIENCE,2
73,GNIT - GURUNANAK INST OF TECHNOLOGY,2
74,INDU - SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,2
75,IFHE,2
76,MRIT - MALLAREDDY INST OF TECHNOLOGY AND SCI,2
77,MVGR COLLEGE OF ENGINEERING,2
78,MRCW - MALLA REDDY ENGG COLLEGE FOR WOMEN (AUTONOMOUS),2
79,CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),2
80,BRIL - BRILLIANT INSTT OF ENGG AND TECHNOLOGY,1
81,ANRK - ANURAG ENGINEERING COLLGE,1
82,AMRITA VISHWA VIDYAPEETHAM,1
83,MLTM - MALLA REDDY INSTITUTE OF TECHNOLOGY,1
84,JNKR - JNTU COLLEGE OF ENGINEERING JAGITIAL,1
85,MHVR - MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,1
86,MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,1
87,KNRR - KASIREDDY NARAYANAREDDY COLL ENGG RES,1
88,KUWL - KAKATIYA UNIVERSITY,1
89,MALLA REDDY COLLEGE OF ENGINEERING,1
90,MALLAREDDY GROUP,1
91,KLH - K L UNIVERSITY,1
92,GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY,1
93,HITM - HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),1
94,ICFAI HYDERABAD,1
95,ICFAI-ICFAI UNIVERSITY,1
96,ICFAI UNIVERSITY HYDERABAD,1
97,IFHE(ICFAI FOUNDATION OF HIGHER EDDUCATION) HYDERABAD,1
98,CBIT - CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,1
99,CMRG - CMR TECHNICAL CAMPUS (AUTONOMOUS),1
100,IIITH - INTERNATIONAL INSTITUTE OF INFORMATION AND TECHNOLOGY,1
101,JAHNAVI DEGREE & PG COLLEGE,1
102,INDIAN INSTITUTE OF TECHNOLOGY VARANASI,1
103,JNTM - JNTU COLLEGE OF ENGG MANTHANI,1
104,JOGI - JOGINPALLY B R ENGINEERING COLLEGE,1
105,JNTS - J N T U COLLEGE OF ENGINEERING SULTANPUR,1
106,KCEA - KSHATRIYA COLLEGE OF ENGINEERING,1
107,"IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY, SIDDIPET",1
108,SISG - SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,1
109,SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,1
110,NRCM - NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),1
111,Nextwave,1
112,PARUL UNIVERSITY,1
113,PBRVITS - PARAVATHA REDDY BABUL REDDY VISVODAYA INSTITUTE OF TECHNOLOGY AND SCIENCE,1
114,S.R.M INSTITUTE OF SCIENCE AND TECHNOLOGY,1
115,SCET - SHADHAN COLL OF ENGINEERING AND TECHNOLOGY,1
116,MREM - MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,1
117,MREC - MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),1
118,MRET - MALLAREDDY INST OF ENGG AND TECHNOLOGY,1
119,MVSR - M V S R ENGINEERING COLLEGE (AUTONOMOUS),1
120,NALLA MALLA REDDY ENGINEERING COLLEGE,1
121,NALLA MALLA REDDY,1
122,NGIT - NEIL GOGTE INSTITUTE OF TECHNOLOGY,1
123,NIAT,1
124,TRRM - TRR GROUP OF INSTITUTIONS,1
125,SWRN - SWARNANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,1
126,ST.PETERS ENGINEERING COLLEGE,1
127,SPHN - SPHOORTHY ENGINEERING COLLEGE,1
128,SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,1
129,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,1
130,ST FRANCIS WOMENS COLLEGE,1
131,ST MARY'S INTEGRATED CAMPUS,1
132,VIJAY RURAL ENGINEERING COLLEGE,1
133,VIGNAN UNIVERSITY,1
134,VIGNAN FOUNDATION FOR SCIENCE AND TECHNOLOGY,1
135,VEVIKANANDA COLLEGE,1
136,VIT AP UNIVERSITY,1
137,VIT-AP,1
138,VNRVJIET,1
139,WOXSEN UNIVERSITY,1
